Date,Open*,High,Low,Close**,Volume,Market Cap
"Nov 10, 2019",0.012908,0.013301,0.012853,0.013239,"190,583,497","45,947,083"
"Nov 09, 2019",0.012701,0.013058,0.012669,0.012887,"191,824,388","44,723,001"
"Nov 08, 2019",0.013560,0.013587,0.012569,0.012719,"219,200,709","44,141,454"
"Nov 07, 2019",0.013906,0.013976,0.013399,0.013574,"189,571,037","47,109,747"
"Nov 06, 2019",0.014197,0.014210,0.013778,0.013957,"195,477,816","48,436,375"
"Nov 05, 2019",0.013589,0.014336,0.013551,0.014207,"201,646,467","49,304,193"
"Nov 04, 2019",0.013810,0.013844,0.013281,0.013589,"188,182,718","47,161,679"
"Nov 03, 2019",0.014208,0.014349,0.013362,0.013807,"185,286,255","47,916,523"
"Nov 02, 2019",0.013861,0.014847,0.013539,0.014234,"181,977,941","49,399,087"
"Nov 01, 2019",0.013046,0.014129,0.013031,0.013893,"185,369,164","48,213,732"
"Oct 31, 2019",0.012990,0.013356,0.012752,0.013016,"181,781,941","45,172,033"
"Oct 30, 2019",0.013126,0.013307,0.012642,0.013001,"183,281,178","45,120,005"
"Oct 29, 2019",0.013093,0.013514,0.012933,0.013078,"176,459,111","45,386,719"
"Oct 28, 2019",0.012836,0.013779,0.012833,0.013101,"184,901,205","45,467,820"
"Oct 27, 2019",0.012242,0.013022,0.012059,0.012879,"180,348,942","44,696,184"
"Oct 26, 2019",0.012491,0.013143,0.012034,0.012262,"181,862,763","42,554,659"
"Oct 25, 2019",0.011753,0.012516,0.011656,0.012461,"185,047,840","43,244,025"
"Oct 24, 2019",0.011552,0.011861,0.011479,0.011775,"180,441,583","40,864,901"
"Oct 23, 2019",0.012269,0.012428,0.011355,0.011552,"182,683,932","40,090,905"
"Oct 22, 2019",0.012442,0.012666,0.012236,0.012256,"176,848,813","42,535,902"
"Oct 21, 2019",0.012440,0.012649,0.012337,0.012400,"181,959,082","43,033,786"
"Oct 20, 2019",0.012620,0.012675,0.012237,0.012440,"36,081,767","43,174,545"
"Oct 19, 2019",0.012458,0.012686,0.012388,0.012620,"17,765,071","43,796,224"
"Oct 18, 2019",0.012739,0.012766,0.012281,0.012458,"18,179,600","43,235,000"
"Oct 17, 2019",0.012409,0.012882,0.012288,0.012739,"18,609,386","44,212,226"
"Oct 16, 2019",0.012657,0.012696,0.011770,0.012412,"18,924,406","43,075,140"
"Oct 15, 2019",0.013105,0.013162,0.012607,0.012629,"13,164,319","43,828,548"
"Oct 14, 2019",0.012870,0.013108,0.012715,0.013108,"17,682,622","45,490,161"
"Oct 13, 2019",0.012558,0.013292,0.012531,0.012870,"18,146,360","44,665,220"
"Oct 12, 2019",0.012695,0.013053,0.012532,0.012561,"15,000,640","43,594,459"
"Oct 11, 2019",0.013461,0.013473,0.012640,0.012761,"16,381,049","44,287,843"
"Oct 10, 2019",0.013970,0.013976,0.013106,0.013434,"19,816,073","46,621,457"
"Oct 09, 2019",0.013712,0.014362,0.013595,0.013966,"15,606,499","48,467,773"
"Oct 08, 2019",0.013187,0.013994,0.013159,0.013698,"19,181,443","47,538,655"
"Oct 07, 2019",0.012747,0.013363,0.012601,0.013186,"22,486,728","45,763,209"
"Oct 06, 2019",0.012815,0.013049,0.012605,0.012778,"17,248,054","44,345,199"
"Oct 05, 2019",0.012591,0.012963,0.012541,0.012790,"17,351,245","44,387,379"
"Oct 04, 2019",0.012591,0.012645,0.012359,0.012596,"13,326,373","43,712,976"
"Oct 03, 2019",0.012771,0.012802,0.012383,0.012568,"12,730,371","43,616,074"
"Oct 02, 2019",0.012561,0.012777,0.012444,0.012777,"23,450,134","44,341,183"
"Oct 01, 2019",0.012686,0.013125,0.012461,0.012532,"20,445,932","43,493,661"
"Sep 30, 2019",0.012177,0.012693,0.011792,0.012679,"33,048,596","44,003,660"
"Sep 29, 2019",0.012406,0.012731,0.011816,0.012177,"28,282,959","42,258,478"
"Sep 28, 2019",0.012418,0.012790,0.012119,0.012403,"20,887,097","43,045,540"
"Sep 27, 2019",0.012172,0.012720,0.011752,0.012417,"21,096,852","43,091,528"
"Sep 26, 2019",0.012504,0.012779,0.011789,0.012166,"58,090,327","42,221,405"
"Sep 25, 2019",0.012178,0.012947,0.011626,0.012456,"70,113,835","43,228,527"
"Sep 24, 2019",0.014551,0.014879,0.012132,0.012184,"21,548,561","42,285,068"
"Sep 23, 2019",0.015292,0.015490,0.014532,0.014550,"21,742,302","50,493,923"
"Sep 22, 2019",0.015387,0.015632,0.015035,0.015307,"29,622,884","53,123,725"
"Sep 21, 2019",0.015392,0.015724,0.015197,0.015387,"20,300,025","53,399,215"
"Sep 20, 2019",0.015681,0.015706,0.015214,0.015413,"22,730,648","53,490,858"
"Sep 19, 2019",0.016023,0.016456,0.014770,0.015673,"19,991,115","54,392,268"
"Sep 18, 2019",0.014782,0.016834,0.014725,0.016021,"16,002,731","55,601,964"
"Sep 17, 2019",0.014536,0.014949,0.014178,0.014795,"10,047,359","51,344,122"
"Sep 16, 2019",0.014493,0.014818,0.014326,0.014534,"12,564,550","50,438,480"
"Sep 15, 2019",0.014783,0.014783,0.014302,0.014495,"13,605,225","50,303,470"
"Sep 14, 2019",0.014299,0.014850,0.014152,0.014718,"8,760,547","51,078,730"
"Sep 13, 2019",0.014663,0.014924,0.014126,0.014298,"11,393,309","49,619,934"
"Sep 12, 2019",0.014989,0.015211,0.014389,0.014659,"15,613,280","50,874,230"
"Sep 11, 2019",0.015412,0.015556,0.014855,0.014956,"11,591,268","51,906,185"
"Sep 10, 2019",0.015508,0.015627,0.015174,0.015422,"13,871,413","53,521,526"
"Sep 09, 2019",0.015760,0.015789,0.015217,0.015497,"18,000,976","53,780,591"
"Sep 08, 2019",0.015570,0.015887,0.015336,0.015748,"13,728,697","54,652,268"
"Sep 07, 2019",0.015293,0.015613,0.014957,0.015566,"19,907,967","54,020,806"
"Sep 06, 2019",0.015437,0.015832,0.015238,0.015294,"11,672,245","53,076,517"
"Sep 05, 2019",0.015588,0.015749,0.015302,0.015437,"19,569,163","53,574,448"
"Sep 04, 2019",0.015679,0.015980,0.015501,0.015588,"19,000,974","54,096,667"
"Sep 03, 2019",0.015620,0.015735,0.015385,0.015676,"12,395,518","54,403,743"
"Sep 02, 2019",0.015506,0.015809,0.015207,0.015624,"15,973,974","54,222,067"
"Sep 01, 2019",0.015526,0.017514,0.015289,0.015506,"17,039,408","53,811,883"
"Aug 31, 2019",0.015505,0.017325,0.015263,0.015619,"13,473,123","54,204,908"
"Aug 30, 2019",0.015466,0.016716,0.015145,0.015497,"15,431,895","53,783,524"
"Aug 29, 2019",0.015758,0.016087,0.015272,0.015459,"21,219,929","53,649,327"
"Aug 28, 2019",0.018248,0.018375,0.015214,0.015761,"20,276,234","54,699,266"
"Aug 27, 2019",0.018146,0.018499,0.017647,0.018249,"13,388,660","63,331,894"
"Aug 26, 2019",0.018243,0.018739,0.018025,0.018124,"22,278,156","62,899,014"
"Aug 25, 2019",0.018962,0.019447,0.018067,0.018208,"18,886,399","63,189,937"
"Aug 24, 2019",0.018810,0.019757,0.018679,0.018959,"14,146,621","65,796,283"
"Aug 23, 2019",0.018436,0.019199,0.018367,0.018835,"20,896,202","65,368,256"
"Aug 22, 2019",0.017548,0.019481,0.017355,0.018436,"21,478,911","63,982,234"
"Aug 21, 2019",0.017739,0.017934,0.017063,0.017548,"21,587,613","60,900,623"
"Aug 20, 2019",0.018519,0.018567,0.017454,0.017741,"18,922,038","61,571,088"
"Aug 19, 2019",0.018152,0.019634,0.017759,0.018506,"13,671,444","64,225,152"
"Aug 18, 2019",0.017950,0.018351,0.017853,0.018150,"11,713,275","62,990,770"
"Aug 17, 2019",0.017603,0.018052,0.017389,0.017950,"11,835,569","62,295,422"
"Aug 16, 2019",0.018031,0.018694,0.017452,0.017606,"11,079,200","61,101,476"
"Aug 15, 2019",0.017895,0.018167,0.017303,0.018023,"9,985,313","62,549,816"
"Aug 14, 2019",0.019416,0.020092,0.017796,0.017953,"14,007,130","62,303,893"
"Aug 13, 2019",0.020166,0.020613,0.019117,0.019423,"12,865,597","67,405,486"
"Aug 12, 2019",0.020111,0.020363,0.019898,0.020161,"16,599,969","69,968,708"
"Aug 11, 2019",0.019758,0.020376,0.019704,0.020102,"14,300,778","69,762,425"
"Aug 10, 2019",0.019943,0.020397,0.019629,0.019758,"15,232,029","68,571,535"
"Aug 09, 2019",0.020175,0.020485,0.019472,0.019943,"4,910,011","69,212,588"
"Aug 08, 2019",0.020276,0.020422,0.019878,0.020123,"4,299,536","69,836,585"
"Aug 07, 2019",0.020140,0.020496,0.019878,0.020271,"8,855,270","70,350,325"
"Aug 06, 2019",0.020641,0.020843,0.019872,0.020123,"6,347,414","69,838,050"
"Aug 05, 2019",0.020931,0.021159,0.020515,0.020651,"14,188,163","71,667,566"
"Aug 04, 2019",0.020459,0.021022,0.020121,0.020933,"14,269,256","72,646,250"
"Aug 03, 2019",0.021040,0.021078,0.020423,0.020456,"13,108,864","70,993,320"
"Aug 02, 2019",0.021379,0.021454,0.020875,0.021025,"9,772,930","72,967,090"
"Aug 01, 2019",0.021688,0.022081,0.021201,0.021398,"13,476,062","74,262,659"
"Jul 31, 2019",0.020997,0.023725,0.020740,0.021680,"19,967,609","75,239,278"
"Jul 30, 2019",0.020028,0.021021,0.019678,0.020981,"22,440,562","72,815,247"
"Jul 29, 2019",0.020181,0.020434,0.019654,0.020022,"10,275,752","69,487,572"
"Jul 28, 2019",0.020020,0.020600,0.019577,0.020190,"12,521,772","70,068,721"
"Jul 27, 2019",0.021119,0.021435,0.019833,0.020022,"8,532,235","69,484,510"
"Jul 26, 2019",0.021069,0.021349,0.020607,0.021119,"7,856,051","73,291,472"
"Jul 25, 2019",0.021556,0.021904,0.021033,0.021067,"11,027,957","73,111,910"
"Jul 24, 2019",0.020648,0.021639,0.019889,0.021560,"9,403,068","74,822,358"
"Jul 23, 2019",0.021774,0.023018,0.019969,0.020648,"12,570,374","71,659,173"
"Jul 22, 2019",0.020924,0.022515,0.020788,0.021437,"16,228,165","74,397,476"
"Jul 21, 2019",0.021182,0.022105,0.020633,0.020937,"12,773,519","72,660,342"
"Jul 20, 2019",0.020418,0.021785,0.020395,0.021161,"13,222,359","73,439,052"
"Jul 19, 2019",0.020228,0.021056,0.019765,0.020436,"10,294,649","70,922,139"
"Jul 18, 2019",0.019234,0.020380,0.018628,0.020228,"11,146,448","70,202,455"
"Jul 17, 2019",0.018379,0.019679,0.017860,0.019226,"10,076,783","66,723,872"
"Jul 16, 2019",0.021059,0.021647,0.018350,0.018389,"13,540,141","63,817,588"
"Jul 15, 2019",0.020587,0.021284,0.019052,0.021079,"14,904,974","73,152,598"
"Jul 14, 2019",0.022995,0.023124,0.020588,0.020594,"16,352,797","71,472,171"
"Jul 13, 2019",0.023407,0.023580,0.019189,0.022991,"16,976,032","79,789,660"
"Jul 12, 2019",0.022677,0.023895,0.022529,0.023376,"12,895,256","81,127,521"
"Jul 11, 2019",0.025224,0.025236,0.020741,0.022650,"13,895,040","78,605,033"
"Jul 10, 2019",0.027746,0.027989,0.024850,0.025250,"15,866,227","87,629,427"
"Jul 09, 2019",0.028724,0.028750,0.027411,0.027693,"16,368,252","96,109,121"
"Jul 08, 2019",0.028133,0.028922,0.027913,0.028703,"17,810,433","99,614,895"
"Jul 07, 2019",0.026963,0.029058,0.026719,0.028131,"18,120,537","97,629,602"
"Jul 06, 2019",0.026257,0.027387,0.026247,0.026929,"13,368,465","93,455,064"
"Jul 05, 2019",0.026746,0.026951,0.025883,0.026247,"17,355,325","91,091,206"
"Jul 04, 2019",0.028584,0.028671,0.026773,0.026773,"12,200,803","92,914,109"
"Jul 03, 2019",0.026834,0.028639,0.026801,0.028588,"15,406,932","99,215,570"
"Jul 02, 2019",0.027391,0.027624,0.025570,0.026848,"13,562,716","93,176,848"
"Jul 01, 2019",0.027005,0.028100,0.026397,0.027386,"16,549,073","95,044,224"
"Jun 30, 2019",0.029070,0.029373,0.027028,0.027028,"19,629,553","93,798,622"
"Jun 29, 2019",0.029083,0.029358,0.027716,0.029078,"18,578,191","100,915,470"
"Jun 28, 2019",0.027678,0.029226,0.027165,0.029130,"20,368,602","101,094,804"
"Jun 27, 2019",0.031483,0.032664,0.026743,0.027663,"27,367,655","96,003,464"
"Jun 26, 2019",0.030786,0.034472,0.030444,0.031481,"38,318,235","109,255,762"
"Jun 25, 2019",0.029934,0.030991,0.029527,0.030786,"18,689,313","106,843,477"
"Jun 24, 2019",0.030041,0.030111,0.029467,0.029934,"16,165,442","103,886,935"
"Jun 23, 2019",0.030013,0.030937,0.029769,0.030041,"16,890,159","104,256,085"
"Jun 22, 2019",0.028997,0.030580,0.028566,0.030016,"26,533,306","104,171,330"
"Jun 21, 2019",0.028483,0.029108,0.028364,0.028931,"11,990,244","100,403,441"
"Jun 20, 2019",0.028341,0.029419,0.027990,0.028492,"12,692,650","98,881,343"
"Jun 19, 2019",0.027845,0.028653,0.027768,0.028361,"18,531,846","98,425,255"
"Jun 18, 2019",0.028668,0.029130,0.027628,0.027835,"19,020,251","96,602,122"
"Jun 17, 2019",0.029054,0.030010,0.028616,0.028666,"20,344,314","99,486,476"
"Jun 16, 2019",0.029153,0.029506,0.028216,0.029059,"18,237,485","100,847,102"
"Jun 15, 2019",0.029178,0.029479,0.028364,0.029160,"21,553,777","101,200,004"
"Jun 14, 2019",0.029292,0.030005,0.028289,0.029392,"18,198,434","102,005,379"
"Jun 13, 2019",0.030290,0.030433,0.029168,0.029294,"18,144,885","101,664,906"
"Jun 12, 2019",0.029900,0.030547,0.029188,0.030300,"21,633,955","105,155,637"
"Jun 11, 2019",0.030020,0.030833,0.028726,0.029879,"21,743,843","103,696,162"
"Jun 10, 2019",0.028417,0.030118,0.027982,0.029992,"23,009,976","104,085,668"
"Jun 09, 2019",0.028452,0.030214,0.027756,0.028397,"26,591,507","98,550,672"
"Jun 08, 2019",0.030523,0.031023,0.027738,0.028466,"22,678,401","98,790,156"
"Jun 07, 2019",0.026470,0.033284,0.026132,0.030526,"53,763,678","105,939,526"
"Jun 06, 2019",0.026523,0.026954,0.025463,0.026483,"14,218,062","91,909,107"
"Jun 05, 2019",0.025353,0.027840,0.025353,0.026431,"25,069,485","91,729,398"
"Jun 04, 2019",0.027411,0.027442,0.024929,0.025374,"15,076,250","88,061,309"
"Jun 03, 2019",0.029309,0.029748,0.027079,0.027398,"19,333,689","95,083,276"
"Jun 02, 2019",0.028353,0.029310,0.028227,0.029307,"22,870,279","101,709,998"
"Jun 01, 2019",0.028831,0.029181,0.028028,0.028353,"16,076,548","98,397,533"
"May 31, 2019",0.027853,0.028893,0.027077,0.028863,"19,690,256","100,168,563"
"May 30, 2019",0.029814,0.031866,0.027477,0.027853,"28,642,073","96,664,282"
"May 29, 2019",0.030562,0.030874,0.028589,0.029806,"20,046,822","103,439,619"
"May 28, 2019",0.030424,0.032832,0.029469,0.030505,"28,971,470","105,866,495"
"May 27, 2019",0.028139,0.031133,0.027677,0.030452,"23,686,069","105,682,675"
"May 26, 2019",0.026471,0.028650,0.026200,0.028139,"27,546,684","97,656,771"
"May 25, 2019",0.026520,0.026755,0.026066,0.026459,"13,947,525","91,824,035"
"May 24, 2019",0.026166,0.027115,0.026078,0.026520,"15,368,705","92,036,674"
"May 23, 2019",0.025901,0.026547,0.024739,0.026167,"11,008,413","90,811,137"
"May 22, 2019",0.026860,0.027937,0.025861,0.025914,"20,876,517","89,933,406"
"May 21, 2019",0.026178,0.027894,0.025791,0.026885,"38,799,288","93,302,638"
"May 20, 2019",0.027365,0.027370,0.025147,0.026170,"17,756,625","90,822,130"
"May 19, 2019",0.025649,0.027980,0.025533,0.027407,"19,165,121","95,117,215"
"May 18, 2019",0.025669,0.026782,0.025345,0.025652,"12,004,449","89,025,164"
"May 17, 2019",0.027569,0.028208,0.024044,0.025669,"24,729,779","89,083,030"
"May 16, 2019",0.028163,0.032241,0.026756,0.027572,"19,462,765","95,687,725"
"May 15, 2019",0.025801,0.028253,0.025644,0.028194,"11,006,219","97,847,364"
"May 14, 2019",0.022834,0.025784,0.022738,0.025784,"10,959,901","89,481,831"
"May 13, 2019",0.021805,0.023229,0.021734,0.022858,"16,842,569","79,327,687"
"May 12, 2019",0.023491,0.023719,0.021517,0.021805,"13,140,640","75,673,564"
"May 11, 2019",0.021400,0.024165,0.021400,0.023528,"9,055,582","81,653,295"
"May 10, 2019",0.021254,0.021821,0.020730,0.021389,"6,327,143","74,231,799"
"May 09, 2019",0.022030,0.022124,0.021024,0.021250,"11,542,744","73,748,316"
"May 08, 2019",0.022146,0.022157,0.021279,0.022030,"11,644,136","76,453,114"
"May 07, 2019",0.022427,0.023215,0.022094,0.022141,"15,625,495","76,840,119"
"May 06, 2019",0.022103,0.022685,0.021620,0.022445,"13,883,208","77,894,823"
"May 05, 2019",0.022382,0.022441,0.021734,0.022105,"17,567,622","76,714,803"
"May 04, 2019",0.022943,0.023452,0.021991,0.022371,"15,425,320","77,638,686"
"May 03, 2019",0.023128,0.023728,0.022805,0.022943,"12,063,274","79,622,064"
"May 02, 2019",0.022726,0.023182,0.022585,0.023134,"18,656,983","80,286,254"
"May 01, 2019",0.022975,0.023349,0.022471,0.022730,"10,761,528","78,884,982"
"Apr 30, 2019",0.021902,0.022999,0.021862,0.022963,"10,662,309","79,691,026"
"Apr 29, 2019",0.022751,0.022928,0.021628,0.021905,"14,454,673","76,019,416"
"Apr 28, 2019",0.022841,0.024042,0.022616,0.022738,"23,998,973","78,913,437"
"Apr 27, 2019",0.022570,0.023087,0.022280,0.022841,"12,055,822","79,270,990"
"Apr 26, 2019",0.022445,0.022748,0.022007,0.022570,"14,495,390","78,330,232"
"Apr 25, 2019",0.023540,0.024047,0.022341,0.022420,"11,872,350","77,807,333"
"Apr 24, 2019",0.025189,0.025189,0.022940,0.023493,"14,953,897","81,533,357"
"Apr 23, 2019",0.026344,0.026444,0.025176,0.025177,"14,789,265","87,377,647"
"Apr 22, 2019",0.025364,0.027581,0.024946,0.026344,"12,853,659","91,426,431"
"Apr 21, 2019",0.026457,0.026475,0.024759,0.025354,"15,979,367","87,990,309"
"Apr 20, 2019",0.026607,0.026968,0.026334,0.026452,"24,949,911","91,799,970"
"Apr 19, 2019",0.027166,0.027312,0.026417,0.026595,"13,335,349","92,297,170"
"Apr 18, 2019",0.026526,0.027382,0.026503,0.027164,"22,386,385","94,271,223"
"Apr 17, 2019",0.026831,0.027079,0.026305,0.026538,"12,733,816","92,098,090"
"Apr 16, 2019",0.024974,0.027834,0.024361,0.026829,"14,157,614","93,111,318"
"Apr 15, 2019",0.026797,0.026915,0.024667,0.024971,"17,727,135","86,661,444"
"Apr 14, 2019",0.025928,0.027306,0.025230,0.026797,"17,910,023","92,997,098"
"Apr 13, 2019",0.025377,0.026238,0.025177,0.025928,"17,494,030","89,981,638"
"Apr 12, 2019",0.024866,0.025570,0.023755,0.025388,"14,735,217","88,107,310"
"Apr 11, 2019",0.028011,0.028075,0.024247,0.024864,"24,890,648","86,291,038"
"Apr 10, 2019",0.027658,0.028727,0.027417,0.028020,"16,679,608","97,244,625"
"Apr 09, 2019",0.028699,0.028699,0.027003,0.027659,"17,171,423","95,989,929"
"Apr 08, 2019",0.029154,0.030401,0.027284,0.028697,"20,292,988","99,592,369"
"Apr 07, 2019",0.028859,0.030524,0.028569,0.029137,"23,828,663","101,117,968"
"Apr 06, 2019",0.029251,0.030471,0.028493,0.028861,"14,512,979","100,160,180"
"Apr 05, 2019",0.027851,0.029360,0.027830,0.029253,"12,301,651","101,521,889"
"Apr 04, 2019",0.028540,0.029341,0.027392,0.027869,"14,100,371","96,718,287"
"Apr 03, 2019",0.027274,0.031388,0.027257,0.028573,"29,331,332","99,161,762"
"Apr 02, 2019",0.025412,0.027553,0.024824,0.027301,"14,327,682","94,746,985"
"Apr 01, 2019",0.025123,0.026178,0.024931,0.025400,"14,390,252","88,148,590"
"Mar 31, 2019",0.025189,0.026289,0.024668,0.025125,"21,225,274","87,195,588"
"Mar 30, 2019",0.024638,0.026484,0.022696,0.025189,"17,322,020","87,418,238"
"Mar 29, 2019",0.023891,0.024753,0.023030,0.024686,"20,575,897","85,672,940"
"Mar 28, 2019",0.023037,0.024491,0.022933,0.023922,"14,333,282","83,019,272"
"Mar 27, 2019",0.022478,0.023645,0.022322,0.023017,"11,867,422","79,879,019"
"Mar 26, 2019",0.022206,0.022472,0.021590,0.022468,"11,592,640","77,974,984"
"Mar 25, 2019",0.023106,0.023117,0.021824,0.022183,"7,916,002","76,986,784"
"Mar 24, 2019",0.023351,0.023360,0.022650,0.023079,"6,523,275","80,096,364"
"Mar 23, 2019",0.022474,0.023379,0.022449,0.023320,"7,497,400","80,931,344"
"Mar 22, 2019",0.022070,0.022910,0.021936,0.022492,"12,037,261","78,057,322"
"Mar 21, 2019",0.023105,0.023305,0.021346,0.022087,"4,883,128","76,651,301"
"Mar 20, 2019",0.022571,0.023771,0.022460,0.023091,"7,470,252","80,135,816"
"Mar 19, 2019",0.022494,0.022811,0.022302,0.022594,"2,522,649","78,410,833"
"Mar 18, 2019",0.022680,0.022812,0.022285,0.022484,"4,302,787","78,029,311"
"Mar 17, 2019",0.023043,0.023106,0.022466,0.022658,"7,507,211","78,634,328"
"Mar 16, 2019",0.023339,0.023374,0.022691,0.023057,"12,707,498","80,017,725"
"Mar 15, 2019",0.022573,0.023318,0.022495,0.023318,"6,275,939","80,925,843"
"Mar 14, 2019",0.022419,0.023009,0.021425,0.022551,"10,401,060","78,264,334"
"Mar 13, 2019",0.022813,0.023287,0.022326,0.022372,"7,676,593","77,642,755"
"Mar 12, 2019",0.021717,0.023731,0.021083,0.022892,"8,265,493","79,445,449"
"Mar 11, 2019",0.021376,0.022816,0.020837,0.021740,"12,637,201","75,448,280"
"Mar 10, 2019",0.021508,0.021508,0.020900,0.021361,"4,138,242","74,133,379"
"Mar 09, 2019",0.019916,0.021925,0.019916,0.021475,"5,440,599","74,528,622"
"Mar 08, 2019",0.020261,0.020506,0.019842,0.019920,"3,510,657","69,130,827"
"Mar 07, 2019",0.020029,0.020646,0.019799,0.020245,"2,988,786","70,258,902"
"Mar 06, 2019",0.020201,0.020239,0.019811,0.020010,"2,609,412","69,446,115"
"Mar 05, 2019",0.018764,0.020230,0.018756,0.020230,"10,325,407","70,209,571"
"Mar 04, 2019",0.020248,0.020487,0.018713,0.018722,"102,018,022","64,972,923"
"Mar 03, 2019",0.019945,0.020462,0.019945,0.020191,"15,218,678","70,072,497"
"Mar 02, 2019",0.020272,0.020478,0.019911,0.019996,"4,524,018","69,396,952"
"Mar 01, 2019",0.020196,0.020555,0.020188,0.020292,"6,598,738","70,423,277"
"Feb 28, 2019",0.020294,0.020780,0.019940,0.020227,"10,350,256","70,199,104"
"Feb 27, 2019",0.020565,0.020797,0.020018,0.020324,"6,989,936","70,535,778"
"Feb 26, 2019",0.020321,0.021537,0.019819,0.020566,"13,066,553","71,372,596"
"Feb 25, 2019",0.019553,0.021420,0.019553,0.020483,"14,388,639","71,085,991"
"Feb 24, 2019",0.022644,0.023213,0.019459,0.019766,"16,906,303","68,597,386"
"Feb 23, 2019",0.022287,0.022802,0.021438,0.022605,"17,274,646","78,448,762"
"Feb 22, 2019",0.022305,0.022549,0.021487,0.022264,"27,235,973","77,268,011"
"Feb 21, 2019",0.020887,0.022403,0.020270,0.022361,"10,940,531","77,602,423"
"Feb 20, 2019",0.020753,0.021057,0.020441,0.020938,"13,906,044","72,666,055"
"Feb 19, 2019",0.020565,0.021663,0.020194,0.020732,"10,963,129","71,948,781"
"Feb 18, 2019",0.019594,0.021378,0.019431,0.020675,"13,405,616","71,753,427"
"Feb 17, 2019",0.019195,0.020920,0.018983,0.019629,"15,520,681","68,123,108"
"Feb 16, 2019",0.019107,0.019395,0.018848,0.019161,"28,044,860","66,497,021"
"Feb 15, 2019",0.018919,0.020205,0.018919,0.019150,"22,266,539","66,460,982"
"Feb 14, 2019",0.018559,0.019071,0.018423,0.019001,"14,702,064","65,943,164"
"Feb 13, 2019",0.018623,0.018979,0.018362,0.018559,"13,243,987","64,409,974"
"Feb 12, 2019",0.018526,0.019570,0.018404,0.018576,"15,681,097","64,466,421"
"Feb 11, 2019",0.018979,0.018979,0.018463,0.018554,"7,241,962","64,390,576"
"Feb 10, 2019",0.018992,0.019703,0.018485,0.018930,"11,965,429","65,695,717"
"Feb 09, 2019",0.019241,0.019241,0.018891,0.018988,"20,393,475","65,899,252"
"Feb 08, 2019",0.017931,0.019461,0.017753,0.019309,"6,817,924","67,011,188"
"Feb 07, 2019",0.017566,0.019161,0.017459,0.017998,"21,534,327","62,462,621"
"Feb 06, 2019",0.018065,0.018166,0.017332,0.017566,"10,610,119","60,961,952"
"Feb 05, 2019",0.018508,0.018690,0.017910,0.018035,"12,655,893","62,589,456"
"Feb 04, 2019",0.018516,0.021754,0.018191,0.018564,"10,596,667","64,426,219"
"Feb 03, 2019",0.019242,0.019736,0.018345,0.018508,"12,734,501","64,231,078"
"Feb 02, 2019",0.018374,0.019965,0.017824,0.019343,"18,179,368","67,128,888"
"Feb 01, 2019",0.018410,0.018945,0.017472,0.018432,"17,400,367","63,967,890"
"Jan 31, 2019",0.019369,0.019529,0.018297,0.018441,"5,725,506","63,999,725"
"Jan 30, 2019",0.019109,0.019487,0.018560,0.019366,"19,122,119","67,210,395"
"Jan 29, 2019",0.019013,0.019451,0.018553,0.019110,"8,847,400","66,319,308"
"Jan 28, 2019",0.020342,0.022115,0.018330,0.019008,"13,576,761","65,966,542"
"Jan 27, 2019",0.021645,0.021863,0.020140,0.020340,"12,963,394","70,590,799"
"Jan 26, 2019",0.021005,0.022057,0.021001,0.021599,"14,698,333","74,959,789"
"Jan 25, 2019",0.021883,0.021883,0.020585,0.020943,"12,537,195","72,684,032"
"Jan 24, 2019",0.021905,0.022165,0.021151,0.021815,"6,587,168","75,709,350"
"Jan 23, 2019",0.022481,0.022910,0.021671,0.021946,"9,960,793","76,162,874"
"Jan 22, 2019",0.023243,0.023305,0.021807,0.022472,"21,461,141","77,987,586"
"Jan 21, 2019",0.023907,0.024132,0.022557,0.023211,"11,424,666","80,554,752"
"Jan 20, 2019",0.024793,0.025417,0.022628,0.023279,"17,278,733","80,788,021"
"Jan 19, 2019",0.023176,0.026039,0.023056,0.024801,"25,559,530","86,069,942"
"Jan 18, 2019",0.025552,0.025552,0.022396,0.023167,"26,636,468","80,400,793"
"Jan 17, 2019",0.022612,0.025477,0.022612,0.025070,"34,830,505","87,005,674"
"Jan 16, 2019",0.018599,0.022862,0.018599,0.022761,"25,785,509","78,990,032"
"Jan 15, 2019",0.019190,0.020183,0.018589,0.018618,"24,358,705","64,614,687"
"Jan 14, 2019",0.017934,0.019894,0.017877,0.019208,"19,925,637","66,659,856"
"Jan 13, 2019",0.019993,0.019993,0.017823,0.017918,"13,680,258","62,184,054"
"Jan 12, 2019",0.020720,0.020720,0.019636,0.019974,"13,310,230","69,317,906"
"Jan 11, 2019",0.022074,0.022894,0.020175,0.020692,"24,878,884","71,812,538"
"Jan 10, 2019",0.020731,0.023303,0.019130,0.021387,"32,135,792","74,222,091"
"Jan 09, 2019",0.019392,0.021095,0.019010,0.020637,"9,843,769","71,620,661"
"Jan 08, 2019",0.019230,0.019703,0.018560,0.019402,"19,151,174","67,333,259"
"Jan 07, 2019",0.019717,0.019896,0.018963,0.019214,"7,785,724","66,680,315"
"Jan 06, 2019",0.019044,0.019825,0.018554,0.019718,"17,034,229","68,429,820"
"Jan 05, 2019",0.018089,0.020230,0.016475,0.019082,"14,350,376","66,222,857"
"Jan 04, 2019",0.017467,0.018187,0.016921,0.018075,"29,087,786","62,730,262"
